 1.017+0.216i	 0.663-0.979i	 0.262-0.994i	-0.135+0.29i	 1.905-0.198i	 1.94-0.799i	-0.072+0.735i	-0.963-0.41i	 1.467+0.975i	 1.476-0.02i	-0.447+1.396i	 1.976-0.115i	 0.644+1.098i	-0.852+0.685i	 1.021+0.687i	-0.683+0.949i	 0.824-0.97i	-0.445+1.964i	 1.222-0.956i	 0.407-0.954i
 1.799+1.026i	-0.719+0.385i	 0.436+0.483i	 0.287+1.139i	 0.145+1.313i	 1.233+0.961i	 1.072+0.482i	-0.452-0.546i	-0.612-0.658i	 1.854-0.745i	 0.528+0.752i	 0.16+1.511i	 0.176+0.703i	 1.312+1.838i	 0.305+0.576i	-0.356+1.146i	 1.181-0.1i	 1.853+1.554i	 1.369-0.023i	 1.117+0.813i
 1.972+1.697i	 1.299+0.08i	-0.983+1.219i	 1.989+1.394i	-0.857+1.526i	-0.278+0.974i	-0.201+0.82i	 0.662+1.155i	 1.877-0.79i	 0.85+0.294i	 0.79-0.425i	 0.448+1.049i	 0.647+1.021i	 1.688-0.894i	-0.317+1.455i	 0.855-0.234i	 1.353+0.286i	 0.285-0.218i	 0.421-0.672i	 0.057-0.254i
 0.76-0.035i	-0.737-0.339i	 0.548+1.472i	-0.837+1.957i	 1.872+1.393i	-0.047-0.37i	 0.943+1.59i	 1.385+1.479i	 0.644-0.897i	-0.485+1.128i	 1.403+0.448i	-0.935-0.451i	-0.123+1.444i	 1.2+0.455i	-0.503-0.131i	-0.894+1.383i	 0.084+1.757i	 0.254+0.354i	 0.454-0.465i	-0.385+1.445i
-0.295+0.982i	 0.161-0.643i	 0.884+1.419i	 1.027+1.223i	-0.887+1.462i	-0.398+1.237i	-0.029+0.77i	 0.059-0.249i	 1.826-0.124i	 0.315+1.057i	 0.36-0.992i	-0.815+0.051i	 1.277+1.725i	-0.965-0.087i	-0.484+1.399i	 1.32-0.436i	 1.942+1.816i	-0.77+0.991i	-0.177+0.451i	-0.618+0.244i
-0.427+1.703i	 0.727+1.181i	-0.461+1.156i	 1.59+0.341i	 1.242+0.271i	 1.89+1.692i	 0.117+1.863i	-0.456-0.868i	 0.491+0.673i	 0.399+0.616i	-0.304+0.708i	-0.011+0.717i	 0.541+0.837i	 0.456+0.686i	 1.389+1.97i	 1.609+1.65i	 1.533+1.969i	-0.374+0.68i	-0.843-0.349i	 1.191+0.875i
 1.867+1.17i	-0.088+0.536i	 1.732+1.699i	-0.421+1.965i	 1.609+0.76i	 1.033+1.786i	 1.97+1.558i	-0.837+0.923i	 0.068-0.186i	 1.741+0.733i	-0.022+0.584i	 1.848-0.22i	 0.896-0.798i	 0.303+1.281i	 0.837+0.153i	 0.395+1.972i	-0.175+1.228i	 1.292-0.582i	 0.966+1.303i	 1.191+1.288i
 0.231+1.594i	-0.958-0.103i	 1.775+0.075i	-0.451+0.935i	 1.461-0.865i	-0.772+1.594i	-0.409+0.63i	 1.036+0.769i	 1.363-0.109i	 1.878+0.7i	 0.636+0.917i	 1.466-0.268i	 0.852-0.105i	 0.68-0.722i	-0.491+0.628i	-0.544+1.752i	 1.699-0.94i	 1.476-0.616i	 0.698-0.303i	-0.098+0.848i
-0.371+0.526i	-0.693+1.017i	-0.878+0.281i	-0.923+0.365i	 1.504-0.287i	 1.833+0.396i	 0.273+1.87i	-0.551-0.563i	-0.976+1.068i	-0.503+1.08i	-0.647-0.317i	 0.091+1.426i	-0.324+0.371i	 0.393+1.108i	 0.489-0.424i	-0.423+0.472i	 0.602+1.876i	-0.626+1.718i	-0.706+0.47i	 0.091+0.92i
 0.079+1.287i	-0.655-0.001i	 1.707+1.712i	 0.314+0.08i	 0.805+0.474i	 0.451-0.847i	 0.939+0.349i	 0.25+1.479i	 0.128+1.946i	-0.836+1.256i	 0.492+0.176i	 0.052+1.511i	-0.547+0.893i	-0.409+1.108i	 1.757+0.852i	 0.796-0.746i	 0.454+1.643i	-0.157+1.369i	 0.216+0.421i	 0.986+0.776i
-0.433+0.063i	-0.359+0.061i	 1.857+0.147i	 1.366+1.242i	 1.387+1.64i	 0.477-0.494i	 0.413-0.569i	-0.461+0.949i	-0.245-0.124i	 1.946+0.609i	 0.387+1.07i	-0.523-0.382i	 0.317-0.776i	 0.749+1.879i	-0.851+0.789i	 1.8-0.438i	 1.518+0.333i	 1.695+1.004i	 1.663+0.504i	-0.441+1.658i
 0.306-0.226i	 0.035-0.096i	 1.995-0.077i	-0.224-0.447i	 1.194+1.427i	 1.365+1.763i	 0.673-0.261i	 1.279-0.704i	 0.97+1.192i	 0.183+1.425i	-0.686+0.732i	 0.89-0.692i	 0.77-0.129i	 0.917-0.712i	 1.484-0.928i	-0.226+0.997i	-0.933+1.721i	 0.654+0.64i	-0.477-0.435i	 0.758-0.951i
 0.616+1.901i	 1.586+1.617i	 0.153+0.969i	 0.244-0.308i	 0.855+1.481i	 0.389+1.96i	 0.359+1.394i	-0.968-0.556i	 0.088+0.226i	 1.313+0.453i	 1.168+1.834i	 1.803+0.805i	 0.112+1.829i	 1.239+1.043i	-0.116+0.612i	 1.808+0.076i	-0.916+0.28i	 0.264+0.555i	 0.634+1.084i	 1.71+1.82i
 1.231+1.885i	-0.071+1.903i	 1.868+0.365i	 0.333+0.084i	 0.353+0.344i	 1.935-0.763i	-0.796+0.719i	 1.239+1.613i	-0.54-0.822i	 0.404+0.015i	 1.422+1.489i	-0.018+0.157i	-0.534+0.748i	 0.576+1.28i	-0.768+0.004i	-0.64-0.339i	 1.838+1.364i	 1.992+1.775i	 1.378+1.008i	 1.606+1.333i
 1.614+0.509i	 1.616+0.473i	-0.498+1.768i	-0.638+0.31i	 1.45+0.062i	 1.829+1.776i	-0.178+0.16i	-0.771+0.186i	 0.21+1.012i	 1.523+0.36i	-0.654-0.516i	 0.658+0.415i	 1.099-0.131i	 0.331+1.832i	 0.481+0.149i	 0.848-0.124i	-0.125-0.557i	-0.822+1.395i	-0.488+1.232i	-0.053-0.871i
 0.434+0.177i	 1.972+1.359i	-0.374+0.925i	 0.395-0.291i	-0.437+0.579i	 0.866+1.282i	-0.682+1.238i	-0.549+0.971i	 0.592-0.803i	 1.287+1.441i	 1.989+1.441i	 1.023-0.827i	 1.519+0.724i	 0.652+1.643i	 0.016+0.355i	 0.06+1.633i	 1.797+1.8i	 0.108+1.763i	 1.096+0.532i	 0.942-0.832i
 0.177+0.287i	 0.476+0.385i	 1.257-0.481i	 1.858+1.661i	-0.633-0.133i	 1.328+1.64i	-0.386+1.373i	 0.18-0.2i	 0.404+1.009i	 0.042-0.624i	 0.679-0.275i	 1.484-0.478i	 0.036+1.177i	 1.592-0.732i	 1.094+0.224i	 1.508-0.924i	 0.614+0.915i	 1.675-0.039i	 1.763+1.875i	 0.899+0.292i
 1.811-0.48i	 0.9+1.673i	-0.599+1.961i	 1.359-0.309i	-0.906+1.368i	 0.305-0.615i	 0.688+1.405i	 0.256+1.116i	-0.843+0.466i	 0.778+1.979i	 0.048-0.633i	 0.334+1.672i	-0.844+1.406i	 1.394-0.335i	 1.868+0.408i	 1.017+1.471i	 1.916+1.714i	 0.362-0.477i	 0.876+0.342i	-0.8-0.404i
-0.138-0.865i	 1.902+1.938i	 1.456+0.224i	 0.522+1.952i	-0.759+0.481i	-0.011+0.003i	 1.187+0.656i	 1.318+1.897i	-0.358-0.198i	 1.022+0.617i	-0.055+0.026i	 0.895+0.934i	 0.841-0.547i	 0.218-0.133i	 1.752-0.499i	 0.694+0.096i	-0.278+0.166i	 0.817-0.993i	 1.377-0.002i	 1.059+0.24i
-0.244-0.377i	 0.371+0.069i	-0.543-0.114i	 1.313+0.244i	 0.004+0.788i	 0.099+0.41i	 1.863+1.748i	-0.403+0.71i	-0.251-0.809i	-0.204+0.255i	-0.402+1.766i	 1.676-0.566i	 0.418+1.191i	 0.704+0.625i	 1.633+0.721i	 1.735-0.743i	 0.809+1.818i	 0.75-0.786i	-0.552-0.225i	 1.365+1.661i
